证券简称,id,year,YBR,x2,x4,OCFDR,ROE,CLTLR,CATAR,DER,DR,YoO,RDR,TAT,IFR,GIC
华润微,688396,2019,0.146600883,1.0972,0.8434,0.2981,10.7623,93.5966,51.1038,1.198658889,49.7621,15,0.076547378,0.6354,-0.302042132,1.067262496
华润微,688396,2018,0,1.9085,1.5348,0.316,2.1461,45.6621,47.1746,1.376769056,54.1332,14,0.101761418,0.6815,-0.348129056,1.336344317
慧辰股份,688500,2021,0.004825917,7.4615,7.3222,0.2077,8.0598,99.3653,86.8595,0.135979139,11.7154,13,0.086225302,0.3604,0.148230099,1.014072527
慧辰股份,688500,2020,0,4.7433,4.5806,0.0569,10.7199,99.792,82.7126,0.213834204,17.4743,12,0.073568224,0.5433,0.10071236,1.065826196
慧辰股份,688500,2019,0,4.0912,3.9789,0.0662,11.9596,100,84.3812,0.262221669,20.6251,11,0.050089047,0.5503,0.119722518,1.13794849
慧辰股份,688500,2018,0.002932228,4.3664,4.2549,0.0859,9.3315,99.9429,83.488,0.245940477,19.1314,10,0.037368187,0.5526,0.039382866,1.041153802
芯朋微,688508,2021,0,13.0667,12.2742,0.3517,11.3438,93.375,90.9768,0.080572459,7.4565,16,0.17487633,0.4421,0.17046404,1.281092803
芯朋微,688508,2020,0,6.7787,5.951,0.6261,18.2246,97.8167,96.3561,0.170026703,14.5319,15,0.153005171,0.7474,0.135250484,1.073000164
芯朋微,688508,2019,0,3.6376,2.9385,0.3938,22.1394,98.5756,93.3807,0.352111236,26.0416,14,0.170931311,0.9893,0.25032918,1.137762577
芯朋微,688508,2018,0,4.9996,4.3064,0.6801,23.1938,95.1736,96.0128,0.252787211,20.178,13,0.188124431,1.0352,0.307924764,1.19585953
南亚新材,688519,2021,0.124776701,3.0629,2.7866,-0.0299,8.3187,93.129,81.0963,0.397236057,28.4301,21,0.05861834,0.7809,0.07713099,1.206186642
南亚新材,688519,2020,0.087677076,1.1981,1.0159,0.1083,25.0168,92.8712,69.9773,1.694759653,62.8909,20,0.036488832,1.0318,0.072856752,0.956559822
南亚新材,688519,2019,0.166316525,1.2226,1.0941,0.1923,23.4046,93.6003,76.013,1.978309341,66.4239,19,0.036337896,1.2358,0.080621479,1.121752664
南亚新材,688519,2018,0.136300242,1.1832,1.0184,0.0866,22.2215,95.004,77.949,2.2622556,69.3464,18,0.051282748,1.4866,0.0280387,1.665994841
思瑞浦,688536,2021,0,32.4188,31.5425,2.5023,13.1621,89.6373,98.6847,0.035153551,3.396,9,0.403662115,0.384,0.068353134,1.866052303
思瑞浦,688536,2020,0,4.4237,3.5866,-0.0794,50.2911,89.5926,92.8058,0.305758144,23.4161,8,0.644467593,1.6359,0.026363547,2.664665948
思瑞浦,688536,2018,0,2.6904,1.7407,0.5657,9.4303,100,97.8859,0.571908048,36.383,6,,1.3087,0.182291244,
中科星图,688568,2021,0.05937545,4.2271,3.9652,0.1803,19.3152,85.9881,94.8147,0.356028858,26.085,15,0.181401475,0.6102,0.104386366,1.435483716
中科星图,688568,2020,0.061768377,1.8479,1.6457,-0.0106,43.5468,95.0407,93.0192,1.123970852,52.9635,14,0.172917345,0.9665,0.065868952,1.343075798
中科星图,688568,2019,0.13603024,1.8205,1.5992,0.0826,72.3479,95.0962,92.3575,1.160952115,53.3483,13,0.184037983,1.2217,0.029846677,1.535557201
中科星图,688568,2018,0.05732598,1.4415,1.2395,0.0421,117.5194,95.9633,92.6207,2.107017801,66.9536,12,0.348398585,1.5609,0.100258992,3.533172718
山大地纬,688579,2021,0,2.3184,2.2574,0.2886,8.9047,89.0905,55.4519,0.367002299,26.8472,29,0.2062387,0.3651,0.154845691,1.014065214
山大地纬,688579,2020,0,3.0475,2.9374,0.0511,9.5588,96.2184,61.3459,0.264558771,20.921,28,0.188548928,0.4603,0.114488428,1.202858913
山大地纬,688579,2019,0,3.2787,3.0281,0.2972,12.4956,97.5422,79.892,0.333000436,24.9813,27,0.187083736,0.4637,0.142553625,1.281687706
山大地纬,688579,2018,0,3.6767,3.5337,0.4978,16.0396,94.1565,85.3032,0.326975602,24.6407,26,0.167704097,0.584,0.098771263,1.19630188
凌志软件,688588,2021,0,10.192,10.127,1.6558,21.3577,91.5021,73.1506,0.08520792,7.8438,18,0.099490289,0.6018,0.261298413,1.056097221
凌志软件,688588,2020,0,4.6733,4.5907,1.2501,23.6644,95.7306,61.8427,0.160723829,13.8235,17,0.115767982,0.8086,0.197402164,1.277419994
凌志软件,688588,2019,0,4.4782,4.3708,0.9542,16.343,95.1411,60.3554,0.165508522,14.166,16,0.111676981,0.7274,0.230985444,1.220063099
